Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71888221,0,"Saturday, November 17, 2012 16:51:47 UTC",38.8115,-122.8128,1.2,2.80,17,"Northern California"
us,c000du9x,7,"Saturday, November 17, 2012 16:37:40 UTC",45.3366,151.4657,4.9,47.40,28,"Kuril Islands"
ak,10601874,1,"Saturday, November 17, 2012 16:29:14 UTC",61.2499,-150.6421,1.8,50.20,15,"Southern Alaska"
ci,11205122,0,"Saturday, November 17, 2012 16:28:01 UTC",33.1083,-116.0735,1.6,12.30,71,"Southern California"
ci,11205098,0,"Saturday, November 17, 2012 16:17:09 UTC",33.6797,-116.7542,1.0,20.60,49,"Southern California"
ci,11205090,0,"Saturday, November 17, 2012 16:16:18 UTC",33.4337,-116.4455,1.0,18.50,34,"Southern California"
ak,10601863,1,"Saturday, November 17, 2012 15:45:34 UTC",63.5718,-147.2977,2.9,3.10,38,"Central Alaska"
nc,71888181,1,"Saturday, November 17, 2012 15:40:14 UTC",37.2910,-121.6720,1.8,2.30,19,"Northern California"
ci,11205074,0,"Saturday, November 17, 2012 15:29:06 UTC",35.6965,-118.0685,1.4,0.00,18,"Central California"
ci,11205066,0,"Saturday, November 17, 2012 15:25:47 UTC",35.6975,-118.0760,2.0,0.80,48,"Central California"
ci,11205050,0,"Saturday, November 17, 2012 14:43:14 UTC",32.7262,-115.6107,1.9,5.40,13,"Southern California"
ci,11205042,0,"Saturday, November 17, 2012 14:36:26 UTC",35.5940,-118.5090,1.7,13.50,18,"Central California"
ak,10601848,1,"Saturday, November 17, 2012 14:19:06 UTC",63.5456,-147.3167,2.3,0.00,25,"Central Alaska"
ak,10601844,1,"Saturday, November 17, 2012 14:01:46 UTC",61.5050,-150.2409,1.7,52.70, 5,"Southern Alaska"
nc,71888146,0,"Saturday, November 17, 2012 13:58:53 UTC",37.2733,-121.6517,1.5,5.70,15,"Northern California"
ci,11205026,0,"Saturday, November 17, 2012 13:33:46 UTC",33.6802,-116.7565,1.3,21.10,64,"Southern California"
nc,71888136,0,"Saturday, November 17, 2012 13:21:43 UTC",37.3052,-121.6758,1.4,6.00,10,"Northern California"
ci,11205018,0,"Saturday, November 17, 2012 13:09:45 UTC",33.7083,-116.7627,1.2,17.30,56,"Southern California"
us,c000du78,4,"Saturday, November 17, 2012 12:22:11 UTC",-4.8535,134.0291,4.6,19.40,37,"near the south coast of Papua, Indonesia"
ci,11205002,0,"Saturday, November 17, 2012 12:14:23 UTC",33.0068,-115.5460,1.3,6.90,16,"Southern California"
